id,old_name,new_name,collection,shape,gender,category,slug
253506,G 210,Tramontana,Coast,Muchy,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-210
253763,G 201 CZ,Duna,Drive,Sportowe,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-201-cz
253959,G 21611 CZ,Portofino,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-21611-cz
253966,G 21609,Libre,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-21609
255981,PG 3026,Fiesta,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-pg-3026
256018,CP 8803,Verano,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-cp-8803
256037,CP 8802,Siesta,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-cp-8802
256054,CP 806639,Feria,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-cp-806639
256082,CP 806632,Sarao,Coast,Aviator,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-cp-806632
256121,CJ 1943,Arena,City,Nerdy,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-cj-1943
256172,A 0736,Verbena,Weekend,Okrągłe,Unisex,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-a-0736
256193,A 0711,Luz,City,Kwadratowe,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-a-0711
256209,A 0710,Sol,City,Kwadratowe,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-a-0710
256227,A 0709 CZ,Rayo,City,Kwadratowe,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-a-0709-cz
334136,G 55004 BR,Alba,Coast,Aviator,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55004-br
334538,G 55001 BR,Mar,City,Nerdy,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55001-br
334571,G 55001 GR,Marea,City,Nerdy,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55001-gr
334574,G 55001 CZ,Oleaje,City,Nerdy,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55001-cz
334580,G 55015 BR,Costa,City,Nerdy,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55015-br
334596,G 55015 GR,Cala,City,Nerdy,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55015-gr
334606,G 55015 CZ,Bahía,City,Nerdy,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55015-cz
334688,G 55012 GR,Faro,City,Nerdy,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55012-gr
334708,G 55012 CZ,Vela,City,Nerdy,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55012-cz
337384,G 55021 CZ,Coral,City,Owalne,Męskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55021-cz
337402,G 55029 CZ,Aurora,Coast,Aviator,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55029-cz
337412,G 55029 GR,Ocaso,Coast,Aviator,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55029-gr
337427,G 55051 CZ,Solano,Coast,Aviator,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55051-cz
337436,G 55051 GR,Claro,Coast,Aviator,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55051-gr
337482,G 55054 CZ,Destello,Coast,Aviator,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55054-cz
337493,G 55054 GR,Fulgor,Coast,Aviator,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55054-gr
421549,okulary przeciwsłoneczne z filtrem UV- G 1000 BR,Lumbre,City,Prostokątne,Damskie,Przeciwsłoneczne,goya-okulary-przeciwsloneczne-z-filtrem-uv-g-1000-br
